,group,regulation_dir,count,cell_type
0,IL-6 control,Down,5,CD4 Central Memory
1,IL-6 control,Up,24,CD4 Central Memory
2,Afatinib,Down,7,CD4 Central Memory
3,Afatinib,Up,28,CD4 Central Memory
4,Afatinib dimaleate,Down,7,CD4 Central Memory
5,Afatinib dimaleate,Up,24,CD4 Central Memory
6,Baricitinib,Down,2,CD4 Central Memory
7,Baricitinib,Up,0,CD4 Central Memory
8,Baricitinib phosphate,Down,1,CD4 Central Memory
9,Baricitinib phosphate,Up,0,CD4 Central Memory
10,Canertinib,Down,23,CD4 Central Memory
11,Canertinib,Up,30,CD4 Central Memory
12,Canertinib dihydrochloride,Down,23,CD4 Central Memory
13,Canertinib dihydrochloride,Up,28,CD4 Central Memory
14,Erlotinib,Down,2,CD4 Central Memory
15,Erlotinib,Up,21,CD4 Central Memory
16,Erlotinib hydrochloride,Down,5,CD4 Central Memory
17,Erlotinib hydrochloride,Up,16,CD4 Central Memory
18,Gefitinib,Down,4,CD4 Central Memory
19,Gefitinib,Up,21,CD4 Central Memory
20,Gefitinib hydrochloride,Down,5,CD4 Central Memory
21,Gefitinib hydrochloride,Up,23,CD4 Central Memory
22,NVP-BSK805,Down,3,CD4 Central Memory
23,NVP-BSK805,Up,4,CD4 Central Memory
24,NVP-BSK805 2HCl,Down,2,CD4 Central Memory
25,NVP-BSK805 2HCl,Up,2,CD4 Central Memory
26,Ruxolitinib,Down,2,CD4 Central Memory
27,Ruxolitinib,Up,0,CD4 Central Memory
28,Ruxolitinib phosphate,Down,2,CD4 Central Memory
29,Ruxolitinib phosphate,Up,2,CD4 Central Memory
30,Tofacitinib citrate,Down,2,CD4 Central Memory
31,Tofacitinib citrate,Up,0,CD4 Central Memory
32,Tofacitinib,Down,1,CD4 Central Memory
33,Tofacitinib,Up,0,CD4 Central Memory
0,IL-6 control,Down,29,CD8 Naive
1,IL-6 control,Up,59,CD8 Naive
2,Afatinib,Down,35,CD8 Naive
3,Afatinib,Up,55,CD8 Naive
4,Afatinib dimaleate,Down,39,CD8 Naive
5,Afatinib dimaleate,Up,48,CD8 Naive
6,Baricitinib,Down,4,CD8 Naive
7,Baricitinib,Up,2,CD8 Naive
8,Baricitinib phosphate,Down,3,CD8 Naive
9,Baricitinib phosphate,Up,2,CD8 Naive
10,Canertinib,Down,26,CD8 Naive
11,Canertinib,Up,57,CD8 Naive
12,Canertinib dihydrochloride,Down,27,CD8 Naive
13,Canertinib dihydrochloride,Up,61,CD8 Naive
14,Erlotinib,Down,26,CD8 Naive
15,Erlotinib,Up,54,CD8 Naive
16,Erlotinib hydrochloride,Down,31,CD8 Naive
17,Erlotinib hydrochloride,Up,41,CD8 Naive
18,Gefitinib,Down,26,CD8 Naive
19,Gefitinib,Up,50,CD8 Naive
20,Gefitinib hydrochloride,Down,29,CD8 Naive
21,Gefitinib hydrochloride,Up,55,CD8 Naive
22,NVP-BSK805,Down,11,CD8 Naive
23,NVP-BSK805,Up,13,CD8 Naive
24,NVP-BSK805 2HCl,Down,8,CD8 Naive
25,NVP-BSK805 2HCl,Up,13,CD8 Naive
26,Ruxolitinib,Down,5,CD8 Naive
27,Ruxolitinib,Up,3,CD8 Naive
28,Ruxolitinib phosphate,Down,6,CD8 Naive
29,Ruxolitinib phosphate,Up,3,CD8 Naive
30,Tofacitinib citrate,Down,2,CD8 Naive
31,Tofacitinib citrate,Up,0,CD8 Naive
32,Tofacitinib,Down,2,CD8 Naive
33,Tofacitinib,Up,4,CD8 Naive
0,IL-6 control,Down,52,CD4 Naive
1,IL-6 control,Up,83,CD4 Naive
2,Afatinib,Down,39,CD4 Naive
3,Afatinib,Up,78,CD4 Naive
4,Afatinib dimaleate,Down,50,CD4 Naive
5,Afatinib dimaleate,Up,67,CD4 Naive
6,Baricitinib,Down,6,CD4 Naive
7,Baricitinib,Up,6,CD4 Naive
8,Baricitinib phosphate,Down,5,CD4 Naive
9,Baricitinib phosphate,Up,7,CD4 Naive
10,Canertinib,Down,31,CD4 Naive
11,Canertinib,Up,73,CD4 Naive
