,group,names,scores,logfoldchanges,pvals,pvals_adj,cell_type,abs_logfoldchanges
0,IL-6 control,SBNO2,60.26076,2.309811,0.0,0.0,CD4 Central Memory,2.309811
1,IL-6 control,IKZF1,39.25402,0.6476327,0.0,0.0,CD4 Central Memory,0.6476327
2,IL-6 control,IL2RB,38.148853,1.983307,0.0,0.0,CD4 Central Memory,1.983307
3,IL-6 control,IFI16,36.474274,0.7435741,2.8372818574482258e-291,8.937437850961911e-289,CD4 Central Memory,0.7435741
4,IL-6 control,STAT3,36.020184,1.2923226,4.041929019061895e-284,1.0185661128035975e-281,CD4 Central Memory,1.2923226
5,IL-6 control,BATF,28.283314,2.107305,5.544213426749341e-176,9.979584168148813e-174,CD4 Central Memory,2.107305
6,IL-6 control,NOTCH1,27.539282,1.7542326,5.947434164297485e-167,9.367208808768539e-165,CD4 Central Memory,1.7542326
7,IL-6 control,VAV1,26.836542,1.6111577,1.2110833873911505e-158,1.5259650681128497e-156,CD4 Central Memory,1.6111577
8,IL-6 control,MYC,26.53297,1.807267,4.038276935181548e-155,4.6256626712079545e-153,CD4 Central Memory,1.807267
9,IL-6 control,ITK,25.773045,0.5107577,1.7786721412937322e-146,1.7239437677154635e-144,CD4 Central Memory,0.5107577
10,IL-6 control,BCL6,24.518349,1.7732929,9.414297674303969e-133,8.472867906873571e-131,CD4 Central Memory,1.7732929
11,IL-6 control,PTPN1,23.615576,1.1042488,2.666543058989273e-123,2.2398961695509894e-121,CD4 Central Memory,1.1042488
12,IL-6 control,DDIT4,21.034304,1.0775765,3.184083139525708e-98,2.2288581976679956e-96,CD4 Central Memory,1.0775765
13,IL-6 control,JAK3,20.978842,1.1811265,1.0235586947515039e-97,6.787810291509973e-96,CD4 Central Memory,1.1811265
14,IL-6 control,ARID5B,20.61965,0.73597693,1.82878801768944e-94,1.097272810613664e-92,CD4 Central Memory,0.73597693
15,IL-6 control,SOCS1,19.857328,1.132123,9.524297081833469e-88,4.444671971522285e-86,CD4 Central Memory,1.132123
16,IL-6 control,CD53,19.787094,0.23179129,3.8458536238275464e-87,1.6709570917319682e-85,CD4 Central Memory,0.23179129
17,IL-6 control,CASP8,18.743986,0.61413044,2.1676677393415913e-78,7.803603861629729e-77,CD4 Central Memory,0.61413044
18,IL-6 control,MTHFD2,18.645554,1.6849335,1.372280022976678e-77,4.673169807974633e-76,CD4 Central Memory,1.6849335
19,IL-6 control,SELL,17.717833,0.6433976,3.0545674592189185e-70,9.387207313697164e-69,CD4 Central Memory,0.6433976
20,IL-6 control,TM9SF3,17.480024,0.57583314,2.034096226474334e-68,6.102288679423003e-67,CD4 Central Memory,0.57583314
21,IL-6 control,AIM2,16.832682,1.0085474,1.4058836934189514e-63,4.119566171413672e-62,CD4 Central Memory,1.0085474
22,IL-6 control,F5,16.607012,1.8024127,6.200497822193814e-62,1.7755971036282284e-60,CD4 Central Memory,1.8024127
23,IL-6 control,TRIB2,15.753705,0.9753925,6.477262144359277e-56,1.632270060378538e-54,CD4 Central Memory,0.9753925
24,IL-6 control,RUNX1,15.520443,0.78799534,2.5230287440499406e-54,6.113492725967164e-53,CD4 Central Memory,0.78799534
25,IL-6 control,PRKCQ,15.482125,0.9034284,4.580830444082551e-54,1.0890276150083045e-52,CD4 Central Memory,0.9034284
26,IL-6 control,GIMAP5,14.851491,0.3858206,6.803833597484069e-50,1.50400532154911e-48,CD4 Central Memory,0.3858206
27,IL-6 control,PRDM1,14.66527,0.99782676,1.0758844418059358e-48,2.2223186830745557e-47,CD4 Central Memory,0.99782676
28,IL-6 control,STAT1,14.295368,0.92189705,2.338665494913268e-46,4.6042476931104966e-45,CD4 Central Memory,0.92189705
29,IL-6 control,ICOS,13.869526,0.7861623,9.691504477633262e-44,1.8225814390773e-42,CD4 Central Memory,0.7861623
30,IL-6 control,HK1,13.816982,0.94291025,2.0133458918725865e-43,3.730611505528616e-42,CD4 Central Memory,0.94291025
31,IL-6 control,GLRX,13.518569,0.97814405,1.2151697318745432e-41,2.187305517374178e-40,CD4 Central Memory,0.97814405
32,IL-6 control,HIF1A,13.466977,0.9210376,2.446806112300289e-41,4.34221929788502e-40,CD4 Central Memory,0.9210376
33,IL-6 control,CD274,12.921201,1.4546576,3.4176387672623866e-38,5.9808678427091765e-37,CD4 Central Memory,1.4546576
34,IL-6 control,TNFRSF1A,12.573837,0.8169667,2.9409435510141516e-36,4.940785165703775e-35,CD4 Central Memory,0.8169667
35,IL-6 control,JUNB,12.330892,0.39966545,6.175924052961446e-35,9.850207983204332e-34,CD4 Central Memory,0.39966545
36,IL-6 control,IFNGR1,11.935025,0.8001829,7.77352014254577e-33,1.1523100446597259e-31,CD4 Central Memory,0.8001829
37,IL-6 control,IFITM2,11.592789,0.97159576,4.482945391177499e-31,6.418762719185965e-30,CD4 Central Memory,0.97159576
38,IL-6 control,MAP3K5,11.36546,0.76199096,6.213598310862564e-30,8.69903763520759e-29,CD4 Central Memory,0.76199096
39,IL-6 control,IL32,11.32203,0.47964403,1.0208071957715225e-29,1.398062028991433e-28,CD4 Central Memory,0.47964403
40,IL-6 control,FAS,10.870004,0.70033103,1.6019433993745692e-27,2.124682824433639e-26,CD4 Central Memory,0.70033103
41,IL-6 control,IL2RA,10.637671,1.0891547,1.9904085695304614e-26,2.5332472703114962e-25,CD4 Central Memory,1.0891547
42,IL-6 control,MAF,10.368932,0.535623,3.4334185555234824e-25,4.2412817450584194e-24,CD4 Central Memory,0.535623
43,IL-6 control,CD7,9.876374,0.3807144,5.270536039951474e-23,6.324643247941769e-22,CD4 Central Memory,0.3807144
44,IL-6 control,STAT2,9.641662,0.67533195,5.331795343456727e-22,6.337794464863656e-21,CD4 Central Memory,0.67533195
45,IL-6 control,NCK2,9.559022,0.8233275,1.1887503334134369e-21,1.3998368412158228e-20,CD4 Central Memory,0.8233275
46,IL-6 control,ZFP36,9.162258,0.50137955,5.08225432756974e-20,5.821491320670793e-19,CD4 Central Memory,0.50137955
47,IL-6 control,FOXO1,9.033839,0.5179008,1.657518712190606e-19,1.816063980313186e-18,CD4 Central Memory,0.5179008
48,IL-6 control,MX1,9.0196295,0.79374796,1.8872647186296462e-19,2.049959952994271e-18,CD4 Central Memory,0.79374796
49,IL-6 control,CASK,8.885132,0.72112423,6.384497317832713e-19,6.875612496127537e-18,CD4 Central Memory,0.72112423
50,IL-6 control,SYNE2,8.792126,0.13909087,1.4675658801713987e-18,1.5538932848873634e-17,CD4 Central Memory,0.13909087
51,IL-6 control,TWF2,8.752552,0.5301032,2.0858169845502265e-18,2.190107833777738e-17,CD4 Central Memory,0.5301032
52,IL-6 control,IL6R,8.713236,0.5539548,2.953211822512581e-18,3.025241379159229e-17,CD4 Central Memory,0.5539548
53,IL-6 control,KIF5C,8.60239,0.8903075,7.807270042378319e-18,7.869728202717346e-17,CD4 Central Memory,0.8903075
54,IL-6 control,RRS1,8.598319,0.91469544,8.089187377804054e-18,8.089187377804053e-17,CD4 Central Memory,0.91469544
55,IL-6 control,GIMAP7,8.41277,0.15689659,4.0043826803891845e-17,3.9112575017754827e-16,CD4 Central Memory,0.15689659
56,IL-6 control,PLSCR1,8.399948,1.4498451,4.466741866382464e-17,4.3293036551091577e-16,CD4 Central Memory,1.4498451
57,IL-6 control,LEF1,8.28103,0.42153186,1.2211467055926964e-16,1.1656400371566648e-15,CD4 Central Memory,0.42153186
58,IL-6 control,TACC3,8.207525,0.6564912,2.257944085670085e-16,2.1391049232663964e-15,CD4 Central Memory,0.6564912
59,IL-6 control,LGALS8,8.203435,0.5782166,2.336142331455861e-16,2.196671147488347e-15,CD4 Central Memory,0.5782166
60,IL-6 control,GIMAP2,7.631969,0.4409103,2.3119525627596646e-14,2.051450865547308e-13,CD4 Central Memory,0.4409103
61,IL-6 control,PIM1,7.5312214,0.32341602,5.026795555396848e-14,4.368111999862089e-13,CD4 Central Memory,0.32341602
62,IL-6 control,ERO1A,7.462476,0.45290196,8.49115196956097e-14,7.278130259623688e-13,CD4 Central Memory,0.45290196
63,IL-6 control,CASP10,7.3900824,0.69026846,1.467380429780563e-13,1.2492563118402091e-12,CD4 Central Memory,0.69026846
64,IL-6 control,RAB27A,7.369991,0.49551365,1.7063975918499833e-13,1.433373977153986e-12,CD4 Central Memory,0.49551365
65,IL-6 control,IRF7,7.321458,0.6314778,2.4529165526210543e-13,2.046804540597701e-12,CD4 Central Memory,0.6314778
66,IL-6 control,PIK3C2B,7.307322,1.1424489,2.7251926276019244e-13,2.2590412570910688e-12,CD4 Central Memory,1.1424489
67,IL-6 control,NAMPT,7.2683654,0.6222587,3.63863701625982e-13,2.9770666496671257e-12,CD4 Central Memory,0.6222587
68,IL-6 control,RFC2,7.2436185,0.74480367,4.3686863564012933e-13,3.551319231655245e-12,CD4 Central Memory,0.74480367
69,IL-6 control,SUSD3,7.1832347,0.5444724,6.80810328808322e-13,5.463828116550864e-12,CD4 Central Memory,0.5444724
70,IL-6 control,NOLC1,7.156982,0.66969657,8.247244743542976e-13,6.576916694217816e-12,CD4 Central Memory,0.66969657
71,IL-6 control,RAC2,7.102134,0.44707406,1.2284496686767651e-12,9.613953928774684e-12,CD4 Central Memory,0.44707406
72,IL-6 control,TXLNA,7.0733385,0.5522912,1.512500024417955e-12,1.1763889078806317e-11,CD4 Central Memory,0.5522912
73,IL-6 control,MAT2A,6.9449196,0.46987554,3.786753430303587e-12,2.874282724206337e-11,CD4 Central Memory,0.46987554
74,IL-6 control,MIF,6.870587,0.35426766,6.393841895127658e-12,4.795381421345743e-11,CD4 Central Memory,0.35426766
75,IL-6 control,MYD88,6.497634,0.49397147,8.159292595645457e-11,5.908453258915676e-10,CD4 Central Memory,0.49397147
76,IL-6 control,IFI35,6.418116,0.8427316,1.3797086447001038e-10,9.877459615466652e-10,CD4 Central Memory,0.8427316
77,IL-6 control,TXK,6.1600776,1.0462456,7.270934838927099e-10,5.006217430080953e-09,CD4 Central Memory,1.0462456
78,IL-6 control,RNF149,6.0648384,0.22963823,1.320865530791784e-09,8.996165236744042e-09,CD4 Central Memory,0.22963823
79,IL-6 control,TIAM1,5.8067527,0.41664544,6.36960694643296e-09,4.18005455859663e-08,CD4 Central Memory,0.41664544
80,IL-6 control,UBQLN2,5.5232925,0.40342975,3.3270503655119995e-08,2.0960417302725598e-07,CD4 Central Memory,0.40342975
81,IL-6 control,TNFRSF13C,5.481447,0.53283095,4.2186014203390335e-08,2.644496412749842e-07,CD4 Central Memory,0.53283095
82,IL-6 control,UBE2L6,5.3742394,0.43671426,7.690661887208112e-08,4.773514274818828e-07,CD4 Central Memory,0.43671426
83,IL-6 control,STAT5A,5.30674,0.42395425,1.1160343208318522e-07,6.826229341010358e-07,CD4 Central Memory,0.42395425
84,IL-6 control,MSH6,5.2967596,0.43105027,1.1787562101369456e-07,7.172349574843859e-07,CD4 Central Memory,0.43105027
85,IL-6 control,IL18R1,5.2959476,0.70595825,1.1840069139424783e-07,7.172349574843859e-07,CD4 Central Memory,0.70595825
86,IL-6 control,HAT1,5.158241,0.44285077,2.4928119664079e-07,1.4885986150113528e-06,CD4 Central Memory,0.44285077
87,IL-6 control,TOMM70,5.108961,0.39957887,3.239347395062706e-07,1.9162336703187837e-06,CD4 Central Memory,0.39957887
88,IL-6 control,EDEM1,5.025855,0.31709284,5.011938245468781e-07,2.910157690917357e-06,CD4 Central Memory,0.31709284
89,IL-6 control,SUPV3L1,4.988339,0.44275212,6.090066555090035e-07,3.487947208824293e-06,CD4 Central Memory,0.44275212
90,IL-6 control,ACVR2A,4.862378,0.66379696,1.1598373910559583e-06,6.4663500563296785e-06,CD4 Central Memory,0.66379696
91,IL-6 control,LY96,4.789131,0.857514,1.6750481698525268e-06,9.17635084353993e-06,CD4 Central Memory,0.857514
92,IL-6 control,RORC,4.625424,0.859011,3.7383308263763914e-06,2.0043816345677673e-05,CD4 Central Memory,0.859011
93,IL-6 control,CDK1,4.5498233,1.8844692,5.369097567624833e-06,2.861274499337096e-05,CD4 Central Memory,1.8844692
94,IL-6 control,TXNRD1,4.490989,0.37324822,7.089308966585594e-06,3.7218872074574374e-05,CD4 Central Memory,0.37324822
95,IL-6 control,FCHO1,4.478096,0.55104846,7.531166050148428e-06,3.921185629416124e-05,CD4 Central Memory,0.55104846
96,IL-6 control,GRWD1,4.469518,0.42879704,7.83960091327586e-06,4.0649782513282236e-05,CD4 Central Memory,0.42879704
97,IL-6 control,CNDP2,4.4609814,0.38538685,8.15852381046014e-06,4.213008197204826e-05,CD4 Central Memory,0.38538685
98,IL-6 control,SOCS2,4.4449773,0.57496136,8.790116932242779e-06,4.520631565153429e-05,CD4 Central Memory,0.57496136
99,IL-6 control,TFRC,4.405291,0.37913135,1.0564196192908402e-05,5.4109297573433274e-05,CD4 Central Memory,0.37913135
100,IL-6 control,TIMM9,4.3979063,0.38950253,1.0930017350998966e-05,5.562845465766699e-05,CD4 Central Memory,0.38950253
101,IL-6 control,CXCR5,4.303877,0.5112241,1.678350938048621e-05,8.325677881658515e-05,CD4 Central Memory,0.5112241
102,IL-6 control,REEP5,4.2918067,0.35170913,1.772253522424825e-05,8.722810305684686e-05,CD4 Central Memory,0.35170913
103,IL-6 control,TAP2,4.2479477,0.3253854,2.157376262846965e-05,0.00010577019810066833,CD4 Central Memory,0.3253854
104,IL-6 control,LRP10,4.240124,0.46886677,2.233962066918192e-05,0.00010910047303553962,CD4 Central Memory,0.46886677
105,IL-6 control,BZW2,4.2034636,0.3715426,2.6286135441330296e-05,0.00012738665636952376,CD4 Central Memory,0.3715426
106,IL-6 control,TNFSF10,4.159838,0.45423937,3.184731819344665e-05,0.0001508557177584315,CD4 Central Memory,0.45423937
107,IL-6 control,NFATC2,4.0837026,0.17456877,4.432373566967646e-05,0.0002068440997918235,CD4 Central Memory,0.17456877
108,IL-6 control,NFIL3,4.081223,0.69309837,4.479938492404026e-05,0.0002082923431892647,CD4 Central Memory,0.69309837
109,IL-6 control,MVP,4.0510445,0.45736843,5.098949142926764e-05,0.0002362013205914604,CD4 Central Memory,0.45736843
110,IL-6 control,INPP4B,4.0077043,1.7346327,6.13118032426459e-05,0.00028091953485721394,CD4 Central Memory,1.7346327
111,IL-6 control,ITGA2,3.9576213,0.8965692,7.569985166487058e-05,0.00034558627933962657,CD4 Central Memory,0.8965692
