,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type,comparison,gene_set
0,prerank,Hematopoietic cell lineage,-0.5076752620947774,-1.4705354005030253,0.024864864864864864,1.0,0.792,9/33,14.14%,ITGAM;IL5RA;IL1R1;ITGA2;CD38;IL11RA;TNF;ITGA1;IL3RA,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,KEGG
1,prerank,Type II diabetes mellitus,-0.5576022089347027,-1.3944733241992642,0.06921241050119331,1.0,0.938,7/15,23.56%,TNF;MTOR;PIK3CA;IKBKB;MAPK9;HK1;PRKCE,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,KEGG
2,prerank,Cytosolic DNA-sensing pathway,-0.5194726124707367,-1.3433555888463402,0.08943089430894309,1.0,0.985,6/18,20.19%,NFKBIB;IRF3;TBK1;IKBKE;POLR1C;IKBKB,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,KEGG
3,prerank,ErbB signaling pathway,-0.4270658889973438,-1.2879559329899077,0.09344790547798067,1.0,0.997,16/40,25.95%,BAD;PTK2;NCK2;CRK;NCK1;BRAF;HRAS;MTOR;PIK3CA;ELK1;MAPK9;AKT3;CBLB;PAK4;CDKN1B;RAF1,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,KEGG
4,prerank,Adrenergic signaling in cardiomyocytes,-0.46695506603521963,-1.279361729405856,0.14334470989761092,1.0,0.998,8/23,22.96%,ADRB2;TPM1;MAPK13;PIK3CG;ATF6B;PLCB3;PPP2R3C;AKT3,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,KEGG
5,prerank,Adipocytokine signaling pathway,-0.47073586452024785,-1.270809715292096,0.1580135440180587,1.0,0.998,7/24,22.96%,NFKBIB;TNF;MTOR;PRKAG2;IKBKB;MAPK9;AKT3,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,KEGG
6,prerank,Fc epsilon RI signaling pathway,-0.4460490638815521,-1.2605642060232103,0.1487964989059081,1.0,0.998,15/28,35.90%,FCER1G;MAPK13;TNF;HRAS;PIK3CA;MAPK9;AKT3;RAF1;LAT;INPP5D;RAC2;VAV1;VAV3;MAPK14;MAP2K2,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,KEGG
7,prerank,RNA transport,-0.4815955440700386,-1.2568299205322342,0.16238317757009346,1.0,0.998,8/18,26.25%,NUP85;RNPS1;POP4;RAE1;CASC3;NUP107;EIF4G1;NUP88,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,KEGG
8,prerank,Apoptosis,-0.3960336899018755,-1.2491892893053593,0.10010427528675704,1.0,1.0,22/68,25.95%,BAD;DFFB;PARP2;FASLG;TNF;CTSW;TNFSF10;DFFA;IL3RA;HRAS;PIK3CA;TNFRSF10B;IKBKB;MAPK9;BECN1;AKT3;BIRC2;CAPN1;FOS;PRF1;FAS;RAF1,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,KEGG
9,prerank,Necroptosis,-0.40950803297786414,-1.2447755485918457,0.13877118644067796,1.0,1.0,18/49,27.00%,IFNG;TICAM2;DNM1L;PARP2;CHMP6;FASLG;TNF;TNFSF10;STAT2;TNFRSF10B;VDAC1;TYK2;MAPK9;BIRC2;CHMP4A;CAPN1;FAS;STAT4,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,KEGG
10,prerank,RIG-I-like receptor signaling pathway,-0.4168914018012816,-1.2088115145693132,0.21185510428100987,1.0,1.0,9/33,21.02%,NFKBIB;IRF3;MAPK13;TBK1;TNF;IKBKE;IKBKB;MAPK9;TRAF6,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,KEGG
