,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type,comparison,gene_set
0,prerank,Spermatogenesis,-0.6716519446596092,-1.6817172800480835,0.0035671819262782403,0.0616455949085305,0.058,9/15,19.67%,MAP7;MAST2;PARP2;IDE;BRAF;PSMG1;TOPBP1;MTOR;CDK1,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
1,prerank,Epithelial Mesenchymal Transition,-0.5314836937385478,-1.5148464075890087,0.020562770562770564,0.24350009988869548,0.371,8/31,9.50%,VEGFA;COL1A1;TPM1;GPC1;ITGA2;TGFBI;PLAUR;MEST,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
2,prerank,Glycolysis,-0.4952872374033706,-1.4767684968801698,0.022316684378320937,0.24760980621593082,0.499,14/40,19.67%,VEGFA;SLC25A13;SLC37A4;GPC1;TGFBI;GALE;PGAM1;ECD;GFPT1;IER3;SLC35A3;PMM2;AGL;CDK1,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
3,prerank,Interferon Alpha Response,0.3421958585562065,1.431281349553266,0.012987012987012988,0.06957109084768659,0.1,7/36,7.11%,LAMP3;OAS1;IFITM1;MX1;IRF2;SELL;IFIH1,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
4,prerank,Pperoxisome,-0.5326857134990306,-1.4114081485185428,0.052691867124856816,0.34958189446045834,0.71,13/20,29.69%,TOP2A;ITGB1BP1;IDE;HRAS;MSH2;SMARCC1;ACAA1;ABCC5;FIS1;CAT;ABCB1;MVP;CDK7,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
5,prerank,PI3K/AKT/mTOR  Signaling,-0.4687070745337239,-1.4023067999347747,0.02872340425531915,0.3078170039099289,0.751,21/40,35.45%,NFKBIB;CDK2;CLTC;FASLG;NCK1;TBK1;HRAS;STAT2;CDK1;MAPK9;PAK4;CDKN1B;RAF1;MYD88;CDK4;TIAM1;SMAD2;TRIB3;NOD1;CAB39;VAV3,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
6,prerank,KRAS Signaling Up,-0.4382451556018606,-1.2954558409993688,0.0989247311827957,0.6246753617397758,0.967,7/44,7.33%,MAP7;FCER1G;CLEC4A;DUSP6;LAT2;ITGA2;PLAUR,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
7,prerank,Coagulation,-0.4892136789386534,-1.2596055023027277,0.16800920598388952,0.7005581535676573,0.99,6/17,14.06%,PRSS23;CLU;DUSP6;ITGA2;CSRP1;DUSP14,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
8,prerank,Fatty Acid Metabolism,-0.461836458884636,-1.248700613414399,0.1780821917808219,0.6655155683666771,0.992,11/22,39.87%,BPHL;HADH;DECR1;PCBD1;ACAA1;HMGCS1;ECH1;UGDH;BLVRA;CRYZ;PSME1,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
9,prerank,Estrogen Response Late,-0.4162360118318531,-1.2295491251971067,0.17003188097768332,0.6727360940666115,0.996,7/34,9.50%,PRSS23;TOP2A;ETFB;MAPK13;GALE;FDFT1;MEST,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
10,prerank,Hypoxia,-0.40609952684217165,-1.225259658526327,0.16911764705882354,0.6212848540198065,0.996,10/46,13.39%,VEGFA;GAA;SLC37A4;GPC1;TGFBI;PLAUR;FOSL2;PGM1;BNIP3L;IER3,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
11,prerank,Myogenesis,-0.47217728858395847,-1.2060615811044493,0.2208092485549133,0.636070456556201,0.999,4/17,7.18%,GAA;CLU;COL1A1;RB1,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
12,prerank,IL-6/JAK/STAT3 Signaling,-0.40255011404245755,-1.161257647539623,0.24570815450643776,0.7475384571477497,1.0,12/36,27.67%,IL18R1;IL1R1;CD38;TNF;IL3RA;STAT2;TYK2;ITGA4;FAS;TLR2;MYD88;IL4R,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
13,prerank,Apoptosis,-0.3686603367728085,-1.1593651258513622,0.24563206577595068,0.6969113537223358,1.0,15/65,15.63%,CLU;CDK2;TOP2A;DNM1L;PTK2;CD38;FASLG;BNIP3L;TNF;TNFSF10;IER3;DFFA;IFITM3;LGALS3;PSEN1,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
14,prerank,Adipogenesis,-0.43005596377348704,-1.1512034098554251,0.2857142857142857,0.6745789385704908,1.0,6/23,17.80%,HADH;ETFB;DNAJC15;PGM1;DECR1;ACLY,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
15,prerank,DNA Repair,-0.3926502230205702,-1.1120065592986814,0.3142857142857143,0.7594737292730958,1.0,9/30,22.44%,DDB2;MPC2;VPS28;PRIM1;ADA;RAE1;POLR1C;GTF2A2;NUDT9,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
16,prerank,Apical Junction,-0.37182213025011474,-1.1034715830140898,0.3411764705882353,0.7424441336796141,1.0,8/38,14.73%,HADH;ITGA2;TGFBI;MPZL1;MAPK13;PTK2;CTNND1;HRAS,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
17,prerank,Cholesterol Homeostasis,-0.4040822607858331,-1.0860336240152086,0.364367816091954,0.7552794113450054,1.0,10/22,34.70%,CLU;PLAUR;FDFT1;LGALS3;ATF5;CXCL16;PLSCR1;HMGCS1;TRIB3;ECH1,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
18,prerank,Estrogen Response Early,0.262592136526637,1.051048789847225,0.40476190476190477,0.37318473488686255,0.663,4/31,3.59%,MINDY1;PEX11A;EGR3;IGF1R,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
19,prerank,Mitotic Spindle,-0.3612066449172115,-1.03777656126556,0.44733984799131377,0.8730271982647907,1.0,15/31,36.28%,TOP2A;PCM1;NCK2;NCK1;CDK1;CEP57;TIAM1;KIF20B;SMC1A;ECT2;ARHGEF2;SMC3;HDAC6;KIF23;RASA1,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
20,prerank,E2F Targets,-0.3036492163473531,-0.9727298648163323,0.5651282051282052,1.0,1.0,30/70,40.09%,CDCA8;TOP2A;CHEK1;TIMELESS;HELLS;CHEK2;ZW10;TMPO;ATAD2;CCP110;TIPIN;MSH2;CDK1;PSIP1;NUP107;DNMT1;CDKN1B;CDK4;ANP32E;TFRC;MCM6;SMC1A;UBE2T;MCM3;SMC3;CDKN1A;ILF3;HMGB2;RPA1;MTHFD2,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
21,prerank,Complement,-0.3004450062295383,-0.9550912696038649,0.5696594427244582,1.0,1.0,19/63,29.09%,ITGAM;FCER1G;CLU;DUSP6;PLAUR;CSRP1;DOCK9;PIK3CG;LGALS3;PSEN1;GZMK;PIK3CA;CD46;CR1;CBLB;PRCP;RAF1;CEBPB;PLSCR1,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
22,prerank,Androgen Response,-0.3657795218725426,-0.9486236282457701,0.5647058823529412,0.9970441100324944,1.0,2/18,8.75%,MAP7;APPBP2,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
23,prerank,p53 Pathway,-0.30609901853625104,-0.9451743974113749,0.5843881856540084,0.9611575672821713,1.0,20/53,37.92%,RAD9A;DDB2;RB1;TNFSF9;ADA;IER3;HRAS;CCP110;ABHD4;FOS;ABCC5;ELP1;FAS;RALGDS;S100A4;TRIB3;IRAK1;FOXO3;CD81;CDKN1A,CD4 Central Memory,Afatinib_vs._Afatinib dimaleate,Hallmark
