,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type,drug,comparison,gene_set
0,prerank,"Parathyroid hormone synthesis, secretion and action",-0.6430196385719635,-1.9275660667363972,0.0,0.02976448972774344,0.027,13/20,24.52%,RXRA;GNA11;GATA3;MAP2K1;BCL2;EGR1;PLCB3;CREB1;CDKN1A;PRKACA;MAPK1;BRAF;MAPK3,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,KEGG
1,prerank,JAK-STAT signaling pathway,0.5977026274153745,1.7272264050713364,0.0,0.17127076666812782,0.133,20/55,15.16%,IL2RB;MYC;STAT3;JAK3;SOCS1;IL2RA;STAT1;IL12RB2;IL15RA;IFNGR1;STAT2;SOCS2;IL6R;STAT5A;OSM;JAK2;PIM1;AKT2;CCND2;IL6ST,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,KEGG
2,prerank,Rheumatoid arthritis,-0.5062250940765963,-1.5473982577333478,0.04296875,0.41449807917153836,0.403,10/23,13.25%,IL23A;ITGAL;CD80;CSF1;TNF;JUN;TGFB3;TGFB1;LTB;TNFSF13,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,KEGG
3,prerank,Chemokine signaling pathway,0.5135951608307623,1.5022414323938413,0.01152073732718894,1.0,0.751,17/65,14.05%,VAV1;STAT3;JAK3;STAT1;STAT2;CXCR6;CCR5;CCL27;CXCR5;ITK;RAC2;TIAM1;JAK2;CCL20;CCR2;AKT2;CXCL16,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,KEGG
4,prerank,Malaria,-0.5403147347689418,-1.4932668044350912,0.03257328990228013,0.39208284616669453,0.498,7/15,11.35%,CD40LG;ITGAL;CR1;TNF;TGFB3;TGFB1;PECAM1,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,KEGG
5,prerank,Th1 and Th2 cell differentiation,0.5119243613912526,1.4754033004276017,0.023557126030624265,1.0,0.81,12/51,11.75%,IL2RB;NOTCH1;JAK3;IL2RA;STAT1;PRKCQ;IL12RB2;IFNGR1;MAF;STAT5A;MAPK11;JAK2,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,KEGG
6,prerank,Central carbon metabolism in cancer,0.595502331558173,1.475020248891372,0.034482758620689655,0.9249594529434971,0.81,3/22,2.46%,MYC;HK1;HIF1A,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,KEGG
7,prerank,Insulin resistance,0.5553975050448063,1.4534983147556957,0.054474708171206226,0.8972252662955332,0.86,5/27,7.62%,STAT3;PTPN1;PRKCQ;TNFRSF1A;FOXO1,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,KEGG
8,prerank,Pertussis,-0.4174610418666578,-1.4445167725596333,0.025510204081632654,0.4018206113245365,0.596,8/35,9.60%,IL23A;NLRP3;ITGA5;TNF;NFKB1;JUN;ITGB1;MAPK14,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,KEGG
9,prerank,Pathways in cancer,0.45105248664581765,1.4349500669676383,0.01263157894736842,0.877762679174155,0.89,35/145,15.56%,IL2RB;MYC;NOTCH1;STAT3;JAK3;IL2RA;STAT1;HIF1A;ITGA2;IL12RB2;IL15RA;IFNGR1;RUNX1;FAS;STAT2;CASP8;IL6R;FOXO1;RAC2;MSH6;STAT5A;LEF1;DDB2;TXNRD1;JAK2;CCNE2;CDK2;ITGA6;PIM1;AKT2;CCND2;RALB;IL6ST;ITGA3;CDK4,CD4 Central Memory,IL-6 control,IL-6 control vs. DMSO control,KEGG
