,,group,reference,name,stat,meanchange,pval,padj,cell_type
CD4 Naive,0,Tofacitinib,DMSO control,JAK-STAT,-35.039433625293086,-0.5204905655542098,5.64831534410726e-269,7.907641481750164e-268,CD4 Naive
CD4 Naive,1,Tofacitinib,DMSO control,MAPK,25.20601017657603,0.34358657802619863,3.4418078915935394e-140,2.4092655241154778e-139,CD4 Naive
CD4 Naive,2,Tofacitinib,DMSO control,EGFR,24.096495155743586,0.35814845433950104,2.720402570361697e-128,1.2695211995021254e-127,CD4 Naive
CD4 Naive,3,Tofacitinib,DMSO control,Estrogen,15.661215711613778,0.2014186915267051,2.7852184983099504e-55,9.748264744084826e-55,CD4 Naive
CD4 Naive,4,Tofacitinib,DMSO control,VEGF,12.626802564211333,0.17382187181431163,1.5026077305328606e-36,4.20730164549201e-36,CD4 Naive
CD4 Naive,5,Tofacitinib,DMSO control,TNFa,-12.3130696870161,-0.18076357915330155,7.703637741647354e-35,1.7975154730510494e-34,CD4 Naive
CD4 Naive,6,Tofacitinib,DMSO control,p53,-10.873233106127184,-0.14086217415756774,1.5462250357405125e-27,3.092450071481025e-27,CD4 Naive
CD4 Naive,7,Tofacitinib,DMSO control,TGFb,10.026890724840095,0.0993599575633708,1.1611559018136985e-23,2.0320228281739725e-23,CD4 Naive
CD4 Naive,8,Tofacitinib,DMSO control,PI3K,9.894336340288547,0.15540916500190805,4.4052249867349837e-23,6.852572201587753e-23,CD4 Naive
CD4 Naive,9,Tofacitinib,DMSO control,Trail,7.930351423435726,0.08380914402946149,2.185266115531961e-15,3.059372561744745e-15,CD4 Naive
CD4 Naive,10,Tofacitinib,DMSO control,NFkB,-7.611423421905337,-0.11500627051021878,2.7109350739140426e-14,3.450281003163327e-14,CD4 Naive
CD4 Naive,11,Tofacitinib,DMSO control,Androgen,7.592931504891463,0.10532583067295276,3.127478873056747e-14,3.648725351899539e-14,CD4 Naive
CD4 Naive,12,Tofacitinib,DMSO control,WNT,-0.19833109673533433,-0.0011080312854059304,0.8427860232265878,0.9076157173209407,CD4 Naive
CD4 Naive,13,Tofacitinib,DMSO control,Hypoxia,-0.03578550141312603,-0.004952899305096237,0.9714533938592245,0.9714533938592245,CD4 Naive
CD4 Naive,14,Ruxolitinib,DMSO control,JAK-STAT,-52.463343871919975,-0.7888027531408707,0.0,0.0,CD4 Naive
CD4 Naive,15,Ruxolitinib,DMSO control,MAPK,23.4734714869242,0.32154419521000754,7.613938270786019e-122,5.329756789550213e-121,CD4 Naive
